SiteName,HotspotID,CacheFile,TotalChecklists,TotalSpecies
Dick Cross Wildlife Management Area,L159299,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/155_dick_cross_wildlife_management_area_L159299.rds,716,208
Dismal Swamp Canal Trail,L517450,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/156_dismal_swamp_canal_trail_L517450.rds,488,156
Dolly Anne Hollow (FDR125)/Smith Creek (FDR 125),L718417,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/157_dolly_anne_hollow_fdr125_smith_creek_fdr_125_L718417.rds,9,50
Dora Kelley Nature Park,L449905,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/158_dora_kelley_nature_park_L449905.rds,275,112
Dora Trail,L12385071,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/159_dora_trail_L12385071.rds,15,63
Dorey Park,L718418,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/160_dorey_park_L718418.rds,127,117
Dorrier Park and Levee Walk,L718419,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/161_dorrier_park_and_levee_walk_L718419.rds,88,102
Douthat State Park,L275876,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/162_douthat_state_park_L275876.rds,367,139
Duff McDuff Green Memorial Park,L521853,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/163_duff_mcduff_green_memorial_park_L521853.rds,66,104
Dyke Marsh Wildlife Preserve,L159300,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/164_dyke_marsh_wildlife_preserve_L159300.rds,11323,268
East Gate Park,L718425,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/165_east_gate_park_L718425.rds,36,76
Eastern Shore of Virginia National Wildlife Refuge,L718426,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/166_eastern_shore_of_virginia_national_wildlife_refuge_L718426.rds,3007,304
Eastham Park Trail and Front Royal Boat Landing,L718306,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/167_eastham_park_trail_and_front_royal_boat_landing_L718306.rds,93,133
Echo Lake Park,L246152,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/168_echo_lake_park_L246152.rds,1264,153
Edith J. Carrier Arboretum and Botanical Garden at James Madison University,L1145397,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/169_edith_j_carrier_arboretum_and_botanical_garden_at_james_madison_university_L1145397.rds,1699,159
Edward S. Brinkley Nature Preserve,L11333070,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/170_edward_s_brinkley_nature_preserve_L11333070.rds,1822,258
Elizabeth Furnace,L718427,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/171_elizabeth_furnace_L718427.rds,180,120
Elk Garden,L718428,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/172_elk_garden_L718428.rds,99,90
Elk Viewing Area,L9258349,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/173_elk_viewing_area_L9258349.rds,8,22
Ellanor C. Lawrence Park and the Walney Vistor Center,L718429,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/174_ellanor_c_lawrence_park_and_the_walney_vistor_center_L718429.rds,1027,162
Elliott Knob Area - North Mountain and Elliott Knob Trails,L718430,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/175_elliott_knob_area_north_mountain_and_elliott_knob_trails_L718430.rds,38,91
Evans Tract on Cowpasture River,L718433,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/176_evans_tract_on_cowpasture_river_L718433.rds,20,76
Fairy Stone State Park,L595847,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/177_fairy_stone_state_park_L595847.rds,326,159
Fairystone Farms Wildlife Management Area,L718435,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/178_fairystone_farms_wildlife_management_area_L718435.rds,8,50
Falls of Dismal,L15200013,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/179_falls_of_dismal_L15200013.rds,25,66
False Cape State Park,L718439,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/180_false_cape_state_park_L718439.rds,781,244
Farley Memorial Wayside,L718440,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/181_farley_memorial_wayside_L718440.rds,38,72
Farnham Creek Public Landing,L718441,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/182_farnham_creek_public_landing_L718441.rds,9,37
Fenwick Mines Day Use Area,L718442,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/183_fenwick_mines_day_use_area_L718442.rds,258,143
Ferrum College,L718443,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/184_ferrum_college_L718443.rds,90,113
First Landing State Park,L718444,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/185_first_landing_state_park_L718444.rds,2472,238
Fishburn Park,L718445,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/186_fishburn_park_L718445.rds,123,90
Fisher Farm Park,L718446,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/187_fisher_farm_park_L718446.rds,78,72
Flagpole Knob,L718447,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/188_flagpole_knob_L718447.rds,57,83
"Fluvanna Heritage Trail - East, Pleasant Grove Park",L718448,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/189_fluvanna_heritage_trail_east_pleasant_grove_park_L718448.rds,254,136
"Fluvanna Heritage Trail - West, Pleasant Grove Park",L718449,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/190_fluvanna_heritage_trail_west_pleasant_grove_park_L718449.rds,117,125
Fluvanna Ruritan Lake,L718450,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/191_fluvanna_ruritan_lake_L718450.rds,205,139
Fort Boykin Historic Park,L718452,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/192_fort_boykin_historic_park_L718452.rds,724,202
Fort C.F. Smith Park,L168992,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/193_fort_c_f_smith_park_L168992.rds,3081,177
Fort Christanna Historical Site,L1634562,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/194_fort_christanna_historical_site_L1634562.rds,53,86
Fort Huger,L569762,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/195_fort_huger_L569762.rds,72,112
Fort Monroe,L604728,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/196_fort_monroe_L604728.rds,2518,234
Fortune's Cove Preserve,L718454,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/197_fortune_s_cove_preserve_L718454.rds,127,115
"Fox Hollow Discovery Trail, Shenandoah National Park",L686456,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/198_fox_hollow_discovery_trail_shenandoah_national_park_L686456.rds,310,131
Fraley Avenue Trail,L718451,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/199_fraley_avenue_trail_L718451.rds,1,8
Fraley Park,L718456,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/200_fraley_park_L718456.rds,8,34
Franklin County Recreation Park,L718458,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/201_franklin_county_recreation_park_L718458.rds,28,76
"Frazier Discovery Trail, Shenandoah National Park",L718460,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/202_frazier_discovery_trail_shenandoah_national_park_L718460.rds,164,104
Fred Clifton Park,L718461,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/203_fred_clifton_park_L718461.rds,66,70
"Fredericksburg Battlefield, Fredericksburg & Spotsylvania National Military Park",L718462,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/204_fredericksburg_battlefield_fredericksburg_spotsylvania_national_military_park_L718462.rds,164,108
"Free School Marsh & Michael Marsh Tracts, Saxis Wildlife Management Area",L718721,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/205_free_school_marsh_michael_marsh_tracts_saxis_wildlife_management_area_L718721.rds,504,214
Friends of Dragon Run Teta Kain Nature Preserve,L718422,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/206_friends_of_dragon_run_teta_kain_nature_preserve_L718422.rds,331,125
Fries Public Boat Landing,L718463,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/207_fries_public_boat_landing_L718463.rds,51,91
G. Richard Thompson Wildlife Management Area,L718464,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/208_g_richard_thompson_wildlife_management_area_L718464.rds,446,151
"Gaines' Mill Battlefield, Richmond National Battlefield Park",L443267,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/209_gaines_mill_battlefield_richmond_national_battlefield_park_L443267.rds,102,111
Gargatha Landing,L718466,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/210_gargatha_landing_L718466.rds,129,146
Garst Mill Park Greenway,L718467,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/211_garst_mill_park_greenway_L718467.rds,99,95
Gathright Dam - Jackson River Float Trip,L718531,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/212_gathright_dam_jackson_river_float_trip_L718531.rds,23,67
George Washington Birthplace National Monument,L159307,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/213_george_washington_birthplace_national_monument_L159307.rds,770,199
Glady Fork Wetland,L718469,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/214_glady_fork_wetland_L718469.rds,10,54
Glen Alton,L718470,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/215_glen_alton_L718470.rds,626,165
Glen Lyn Park,L718471,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/216_glen_lyn_park_L718471.rds,288,143
Glen Maury Park,L718472,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/217_glen_maury_park_L718472.rds,182,143
"Glenns Campus, Rappahannock Community College",L718474,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/218_glenns_campus_rappahannock_community_college_L718474.rds,49,76
Gloucester Point Beach,L572920,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/219_gloucester_point_beach_L572920.rds,576,117
Goose Point at Philpott Lake,L718434,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/220_goose_point_at_philpott_lake_L718434.rds,62,124
Goshen - Little North Mountain Wildlife Management Area,L718477,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/221_goshen_little_north_mountain_wildlife_management_area_L718477.rds,5,34
Gosnold's Hope Park,L718479,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/222_gosnold_s_hope_park_L718479.rds,139,142
Grand Caverns Regional Park (Grottoes),L159313,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/223_grand_caverns_regional_park_grottoes_L159313.rds,202,129
Grandview Nature Preserve,L718480,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/224_grandview_nature_preserve_L718480.rds,2461,252
Grassy Hill Natural Area Preserve,L718481,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/225_grassy_hill_natural_area_preserve_L718481.rds,23,69
Grayson County Recreation Park,L718482,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/226_grayson_county_recreation_park_L718482.rds,11,53
Grayson Highlands State Park,L718483,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/227_grayson_highlands_state_park_L718483.rds,430,145
Great Dismal Swamp National Wildlife Refuge,L718484,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/228_great_dismal_swamp_national_wildlife_refuge_L718484.rds,475,194
Great Falls Park,L718485,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/229_great_falls_park_L718485.rds,5262,207
Great Neck Park,L1817716,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/230_great_neck_park_L1817716.rds,305,134
Green Hill Park,L718486,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/231_green_hill_park_L718486.rds,237,137
Green Pastures Recreation Area,L26557162,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/232_green_pastures_recreation_area_L26557162.rds,7,44
Green Springs National Historic District - Bracketts Farm,L718487,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/233_green_springs_national_historic_district_bracketts_farm_L718487.rds,187,150
Greenbrier Park and the Meadow Creek Trail,L1543531,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/234_greenbrier_park_and_the_meadow_creek_trail_L1543531.rds,1684,165
Greenfield,L718489,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/235_greenfield_L718489.rds,168,123
Greensprings Interpretive Trail,L280466,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/236_greensprings_interpretive_trail_L280466.rds,4492,233
Grindstone Campground,L718491,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/237_grindstone_campground_L718491.rds,188,106
"Guard Shore Tract, Saxis Wildlife Management Area",L718493,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/238_guard_shore_tract_saxis_wildlife_management_area_L718493.rds,101,142
Guest River Gorge Trail,L718494,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/239_guest_river_gorge_trail_L718494.rds,15,59
Hale Lake,L357526,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/240_hale_lake_L357526.rds,9,40
"Hall Road, Raptor Viewing Stop and Overlook",L718496,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/241_hall_road_raptor_viewing_stop_and_overlook_L718496.rds,22,94
Hanging Rock Battlefield Trail,L718497,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/242_hanging_rock_battlefield_trail_L718497.rds,105,92
Happy Hollow Garden,L718498,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/243_happy_hollow_garden_L718498.rds,64,89
Harborton Landing,L718499,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/244_harborton_landing_L718499.rds,29,82
Hardware River Wildlife Management Area,L718500,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/245_hardware_river_wildlife_management_area_L718500.rds,116,137
"Harrison Lake National Fish Hatchery, U.S. Fish and Wildlife Service",L159319,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/246_harrison_lake_national_fish_hatchery_u_s_fish_and_wildlife_service_L159319.rds,545,174
Harvey's Knob Overlook,L159320,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/247_harvey_s_knob_overlook_L159320.rds,869,148
Havens Wildlife Management Area,L718502,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/248_havens_wildlife_management_area_L718502.rds,16,68
Hearthstone Lake,L718503,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/249_hearthstone_lake_L718503.rds,26,74
Hemlock Overlook Regional Park,L718504,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/250_hemlock_overlook_regional_park_L718504.rds,229,132
Henricus Park/Dutch Gap Conservation Area,L207180,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/251_henricus_park_dutch_gap_conservation_area_L207180.rds,6260,230
Heritage Community Park and Natural Area,L421224,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/252_heritage_community_park_and_natural_area_L421224.rds,1805,175
Hickory Hollow Natural Area Preserve,L718506,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/253_hickory_hollow_natural_area_preserve_L718506.rds,158,99
Hidden Oaks Nature Center & Annandale Park,L200655,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/254_hidden_oaks_nature_center_annandale_park_L200655.rds,237,111
Hidden Pond Farm,L718507,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/255_hidden_pond_farm_L718507.rds,2,13
Hidden Valley,L718508,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/256_hidden_valley_L718508.rds,93,133
Hidden Valley Wildlife Management Area,L718509,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/257_hidden_valley_wildlife_management_area_L718509.rds,86,125
High Knob Recreation Area,L718510,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/258_high_knob_recreation_area_L718510.rds,52,86
Highland Wildlife Management Area - Bullpasture Gorge and Mountain,L718511,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/259_highland_wildlife_management_area_bullpasture_gorge_and_mountain_L718511.rds,25,101
Highland Wildlife Management Area - Jack Mountain/Buck Hill Road,L718512,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/260_highland_wildlife_management_area_jack_mountain_buck_hill_road_L718512.rds,47,96
Historic Crab Orchard Museum,L718513,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/261_historic_crab_orchard_museum_L718513.rds,45,77
"Historic Jamestowne, a unit of Colonial National Historical Park",L718540,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/262_historic_jamestowne_a_unit_of_colonial_national_historical_park_L718540.rds,2510,233
Historic Westover,L718815,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/263_historic_westover_L718815.rds,64,144
Hoffler Creek Wildlife Preserve,L718514,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/264_hoffler_creek_wildlife_preserve_L718514.rds,1185,211
Hog Island Wildlife Management Area,L718515,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/265_hog_island_wildlife_management_area_L718515.rds,1837,278
Holliday Lake State Park,L326907,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/266_holliday_lake_state_park_L326907.rds,3761,183
Homestead Road/Fairwood Valley,L718517,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/267_homestead_road_fairwood_valley_L718517.rds,254,130
Hone Quarry Recreation Area,L718518,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/268_hone_quarry_recreation_area_L718518.rds,512,136
Horn Harbor Landing,L718519,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/269_horn_harbor_landing_L718519.rds,27,67
Horsepen Lake Wildlife Management Area,L718521,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/270_horsepen_lake_wildlife_management_area_L718521.rds,8,54
Howardsville Boat Landing,L718522,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/271_howardsville_boat_landing_L718522.rds,68,95
Hughlett Point Natural Area Preserve,L441725,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/272_hughlett_point_natural_area_preserve_L441725.rds,765,215
Hungry Mother State Park,L718523,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/273_hungry_mother_state_park_L718523.rds,843,167
Huntley Meadows Park,L718525,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/274_huntley_meadows_park_L718525.rds,23974,258
I.C. DeHart Memorial Park,L718526,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/275_i_c_dehart_memorial_park_L718526.rds,54,76
Independence Public Boat Landing,L718527,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/276_independence_public_boat_landing_L718527.rds,18,76
Indian Draft - Jackson River Float Trip,L718532,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/277_indian_draft_jackson_river_float_trip_L718532.rds,6,47
Indiantown Park,L718528,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/278_indiantown_park_L718528.rds,224,206
Ivy Creek Natural Area,L159326,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/279_ivy_creek_natural_area_L159326.rds,5037,192
J. Frank Wilson Park,L718529,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/280_j_frank_wilson_park_L718529.rds,122,86
J. Metz Neabsco Creek Wetlands Preserve,L189661,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/281_j_metz_neabsco_creek_wetlands_preserve_L189661.rds,1538,215
Jack Dalton Park,L718530,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/282_jack_dalton_park_L718530.rds,22,70
James Madison's Montpelier,L718536,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/283_james_madison_s_montpelier_L718536.rds,248,135
James River Heritage Trail at Percival's Island Natural Area,L718537,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/284_james_river_heritage_trail_at_percival_s_island_natural_area_L718537.rds,206,132
James River National Wildlife Refuge,L12704018,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/285_james_river_national_wildlife_refuge_L12704018.rds,92,119
James River State Park,L718538,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/286_james_river_state_park_L718538.rds,549,185
James River Wildlife Management Area,L718539,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/287_james_river_wildlife_management_area_L718539.rds,164,169
John J. Radcliffe Appomattox River Conservation Area,L2903590,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/288_john_j_radcliffe_appomattox_river_conservation_area_L2903590.rds,596,181
John Marshall Birthplace Park,L718541,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/289_john_marshall_birthplace_park_L718541.rds,86,92
John W. Flannagan Reservoir,L718542,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/290_john_w_flannagan_reservoir_L718542.rds,24,87
John's Point Landing,L10488842,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/291_john_s_point_landing_L10488842.rds,75,89
Johnson Springs - Jackson River Float Trip,L718533,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/292_johnson_springs_jackson_river_float_trip_L718533.rds,6,35
Jones Point Park,L159335,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/293_jones_point_park_L159335.rds,1847,203
Kelly's Ford,L718543,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/294_kelly_s_ford_L718543.rds,84,109
Keokee Lake,L718544,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/295_keokee_lake_L718544.rds,40,117
King and Queen Fish Cultural Station,L718545,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/296_king_and_queen_fish_cultural_station_L718545.rds,21,83
Kiptopeke State Park,L718546,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/297_kiptopeke_state_park_L718546.rds,3254,306
Lake A. Willis Robertson,L718547,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/298_lake_a_willis_robertson_L718547.rds,114,119
Lake Albemarle,L718548,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/299_lake_albemarle_L718548.rds,128,121
Lake Anna - Dike 3,L718549,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/300_lake_anna_dike_3_L718549.rds,125,114
Lake Anna State Park,L718550,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/301_lake_anna_state_park_L718550.rds,437,177
Lake Burnt Mills,L718355,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/302_lake_burnt_mills_L718355.rds,65,105
Lake Burton,L718551,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/303_lake_burton_L718551.rds,28,79
Lake Campbell at Massanetta Springs Conference Center,L718553,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/304_lake_campbell_at_massanetta_springs_conference_center_L718553.rds,1508,139
Lake Cohoon and Lake Meade,L4433686,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/305_lake_cohoon_and_lake_meade_L4433686.rds,26,66
Lake Conner,L718554,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/306_lake_conner_L718554.rds,34,114
Lake Culpeper,L718562,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/307_lake_culpeper_L718562.rds,175,124
Lake Frederick,L718556,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/308_lake_frederick_L718556.rds,3842,212
Lake Gordon,L718557,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/309_lake_gordon_L718557.rds,20,83
Lake Hanover Nature Trail,L11006412,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/310_lake_hanover_nature_trail_L11006412.rds,744,167
Lake Meade Park,L6747628,/Users/lisamease/Documents/Shiny App Folder/VBWT_CPUE_v2/data_processed/caches/311_lake_meade_park_L6747628.rds,86,103
